userSeq,ancient,medieval,modern,donation,painting,world,craft,science,space,human,natural,future,createdAt,updatedAt
21,27,0,0,19,0,0,9,1,5,6,27,13,"2020-06-20 05:47:53","2020-06-20 05:47:53"
22,24,0,0,8,0,0,20,8,0,0,27,0,"2020-06-20 05:47:53","2020-06-20 05:47:53"
23,2,6,2,23,0,0,6,21,25,18,28,2,"2020-06-20 05:47:53","2020-06-20 05:47:53"
24,10,28,9,2,0,0,8,17,0,2,17,0,"2020-06-20 05:47:53","2020-06-20 05:47:53"
25,21,0,0,9,0,0,2,23,0,7,13,19,"2020-06-20 05:47:53","2020-06-20 05:47:53"
26,22,15,4,23,0,0,9,14,28,23,0,21,"2020-06-20 05:47:53","2020-06-20 05:47:53"
27,15,21,10,19,0,0,9,22,0,6,8,20,"2020-06-20 05:47:53","2020-06-20 05:47:53"
28,24,17,17,25,22,3,18,27,0,2,6,11,"2020-06-20 05:47:53","2020-06-20 05:47:53"
29,24,0,0,13,4,3,17,12,0,1,15,0,"2020-06-20 05:47:53","2020-06-20 05:47:53"
30,28,0,0,12,14,23,13,13,9,21,0,0,"2020-06-20 05:47:53","2020-06-20 05:47:53"
31,12,24,24,27,11,4,1,17,7,23,0,20,"2020-06-20 05:47:53","2020-06-20 05:47:53"
32,14,0,0,2,0,0,29,2,7,21,0,2,"2020-06-20 05:47:53","2020-06-20 05:47:53"
33,6,0,0,27,0,0,24,28,0,24,8,0,"2020-06-20 05:47:53","2020-06-20 05:47:53"
34,3,0,0,14,26,28,8,6,0,6,1,0,"2020-06-20 05:47:53","2020-06-20 05:47:53"
35,25,6,2,1,23,23,29,25,0,17,17,0,"2020-06-20 05:47:53","2020-06-20 05:47:53"
36,21,0,0,30,0,0,11,14,12,29,24,26,"2020-06-20 05:47:53","2020-06-20 05:47:53"
37,1,8,8,25,16,7,4,7,0,12,13,0,"2020-06-20 05:47:53","2020-06-20 05:47:53"
38,10,0,0,28,0,0,19,23,0,7,30,0,"2020-06-20 05:47:53","2020-06-20 05:47:53"
39,29,30,30,28,0,0,25,23,26,14,0,0,"2020-06-20 05:47:53","2020-06-20 05:47:53"
40,12,6,23,2,14,13,23,14,19,19,0,7,"2020-06-20 05:47:53","2020-06-20 05:47:53"
41,1,5,20,10,2,12,23,7,24,27,0,24,"2020-06-20 05:47:53","2020-06-20 05:47:53"
42,4,0,0,13,4,7,27,3,8,13,4,24,"2020-06-20 05:47:53","2020-06-20 05:47:53"
43,10,0,0,16,0,0,22,18,6,3,0,0,"2020-06-20 05:47:53","2020-06-20 05:47:53"
44,21,14,27,29,0,0,19,21,4,0,28,23,"2020-06-20 05:47:53","2020-06-20 05:47:53"
45,14,0,0,17,0,0,4,15,12,9,2,30,"2020-06-20 05:47:53","2020-06-20 05:47:53"
46,5,0,0,20,19,21,5,24,26,12,29,0,"2020-06-20 05:47:53","2020-06-20 05:47:53"
47,19,15,10,1,0,0,18,27,4,3,14,25,"2020-06-20 05:47:53","2020-06-20 05:47:53"
48,12,27,28,28,0,0,1,2,0,17,5,0,"2020-06-20 05:47:53","2020-06-20 05:47:53"
49,7,20,5,20,0,0,16,9,8,5,22,21,"2020-06-20 05:47:53","2020-06-20 05:47:53"
50,8,0,0,5,10,11,21,5,23,30,30,9,"2020-06-20 05:47:53","2020-06-20 05:47:53"
51,4,0,0,17,0,0,11,9,0,7,19,1,"2020-06-20 05:47:53","2020-06-20 05:47:53"
52,30,0,0,2,8,6,19,12,18,2,21,19,"2020-06-20 05:47:53","2020-06-20 05:47:53"
53,19,7,29,17,19,8,15,17,14,22,12,29,"2020-06-20 05:47:53","2020-06-20 05:47:53"
54,5,22,27,28,13,13,15,16,0,8,27,0,"2020-06-20 05:47:53","2020-06-20 05:47:53"
55,22,0,0,6,2,8,12,21,0,23,0,0,"2020-06-20 05:47:53","2020-06-20 05:47:53"
56,21,12,2,4,19,23,18,7,25,11,2,10,"2020-06-20 05:47:53","2020-06-20 05:47:53"
57,13,18,4,4,0,0,12,15,11,1,1,2,"2020-06-20 05:47:53","2020-06-20 05:47:53"
58,26,30,1,16,11,5,23,6,0,2,0,0,"2020-06-20 05:47:54","2020-06-20 05:47:54"
59,22,3,30,30,0,0,1,14,0,10,13,0,"2020-06-20 05:47:54","2020-06-20 05:47:54"
60,7,5,29,29,0,0,7,15,0,21,9,0,"2020-06-20 05:47:54","2020-06-20 05:47:54"
61,4,0,0,10,0,0,7,21,20,1,23,1,"2020-06-20 05:47:54","2020-06-20 05:47:54"
62,27,29,27,8,19,22,5,11,0,17,0,0,"2020-06-20 05:47:54","2020-06-20 05:47:54"
63,25,17,18,6,13,9,4,25,10,20,6,1,"2020-06-20 05:47:54","2020-06-20 05:47:54"
64,21,6,30,13,0,0,6,7,0,16,5,14,"2020-06-20 05:47:54","2020-06-20 05:47:54"
65,15,0,0,3,0,0,12,29,6,0,5,21,"2020-06-20 05:47:54","2020-06-20 05:47:54"
66,18,0,0,5,10,17,16,4,0,0,6,0,"2020-06-20 05:47:54","2020-06-20 05:47:54"
67,10,17,15,27,19,23,14,20,2,5,28,23,"2020-06-20 05:47:54","2020-06-20 05:47:54"
68,23,0,0,21,29,12,18,30,21,5,0,0,"2020-06-20 05:47:54","2020-06-20 05:47:54"
69,4,0,0,8,0,0,16,20,12,0,22,10,"2020-06-20 05:47:54","2020-06-20 05:47:54"
70,15,1,17,22,0,0,6,11,23,3,13,0,"2020-06-20 05:47:54","2020-06-20 05:47:54"
71,24,24,15,25,10,15,18,25,0,2,11,0,"2020-06-20 05:47:54","2020-06-20 05:47:54"
72,12,0,0,30,8,17,25,4,0,0,6,0,"2020-06-20 05:47:54","2020-06-20 05:47:54"
73,24,15,15,5,5,20,5,1,29,8,3,6,"2020-06-20 05:47:54","2020-06-20 05:47:54"
74,4,0,0,29,19,22,18,22,0,23,25,30,"2020-06-20 05:47:54","2020-06-20 05:47:54"
75,2,0,0,9,0,0,7,27,0,0,8,0,"2020-06-20 05:47:54","2020-06-20 05:47:54"
76,9,0,0,25,0,0,26,9,0,13,29,29,"2020-06-20 05:47:54","2020-06-20 05:47:54"
77,11,0,0,15,1,24,9,5,0,6,27,13,"2020-06-20 05:47:54","2020-06-20 05:47:54"
78,11,7,9,2,24,21,5,22,16,15,9,4,"2020-06-20 05:47:54","2020-06-20 05:47:54"
79,19,11,4,14,16,8,20,24,24,9,25,19,"2020-06-20 05:47:54","2020-06-20 05:47:54"
80,1,7,30,22,23,12,4,22,17,30,15,1,"2020-06-20 05:47:54","2020-06-20 05:47:54"
81,13,0,0,16,0,0,22,3,0,8,8,0,"2020-06-20 05:47:54","2020-06-20 05:47:54"
82,7,0,0,16,29,5,30,13,26,17,16,29,"2020-06-20 05:47:54","2020-06-20 05:47:54"
83,4,0,0,3,13,1,22,14,9,14,22,0,"2020-06-20 05:47:54","2020-06-20 05:47:54"
84,15,0,0,14,0,0,19,10,0,9,10,0,"2020-06-20 05:47:54","2020-06-20 05:47:54"
85,2,23,2,29,0,0,6,17,0,4,22,0,"2020-06-20 05:47:54","2020-06-20 05:47:54"
86,16,0,0,4,16,13,14,12,16,25,27,20,"2020-06-20 05:47:54","2020-06-20 05:47:54"
87,29,22,24,30,17,22,9,14,9,12,18,0,"2020-06-20 05:47:54","2020-06-20 05:47:54"
88,19,0,0,16,0,0,26,27,7,29,0,14,"2020-06-20 05:47:54","2020-06-20 05:47:54"
89,19,27,28,12,24,16,13,23,16,19,27,2,"2020-06-20 05:47:54","2020-06-20 05:47:54"
90,26,2,30,8,24,21,21,13,29,29,16,13,"2020-06-20 05:47:54","2020-06-20 05:47:54"
91,22,2,26,16,1,28,13,29,0,18,0,0,"2020-06-20 05:47:54","2020-06-20 05:47:54"
92,26,0,0,1,6,22,13,14,26,0,18,6,"2020-06-20 05:47:54","2020-06-20 05:47:54"
93,2,20,27,10,30,26,21,20,5,7,28,8,"2020-06-20 05:47:54","2020-06-20 05:47:54"
94,12,27,16,9,7,23,16,21,0,23,0,0,"2020-06-20 05:47:54","2020-06-20 05:47:54"
95,19,0,0,7,0,0,14,27,0,10,19,12,"2020-06-20 05:47:54","2020-06-20 05:47:54"
96,6,0,0,18,16,6,12,4,0,16,14,1,"2020-06-20 05:47:54","2020-06-20 05:47:54"
97,28,15,11,23,0,0,17,15,27,2,4,0,"2020-06-20 05:47:54","2020-06-20 05:47:54"
98,27,16,24,7,23,18,16,12,26,10,0,0,"2020-06-20 05:47:54","2020-06-20 05:47:54"
99,27,0,0,10,3,15,23,7,0,0,18,0,"2020-06-20 05:47:54","2020-06-20 05:47:54"
100,11,0,0,12,0,0,5,9,25,29,11,14,"2020-06-20 05:47:54","2020-06-20 05:47:54"
101,0,0,0,0,0,0,0,8,0,0,0,0,"2020-06-20 05:47:54","2020-06-20 05:47:54"
102,0,0,0,0,0,0,0,16,0,0,0,0,"2020-06-20 05:47:54","2020-06-20 05:47:54"
103,21,3,12,29,13,23,10,24,0,13,30,8,"2020-06-20 05:47:54","2020-06-20 05:47:54"
104,29,0,0,26,26,6,8,27,19,22,29,5,"2020-06-20 05:47:54","2020-06-20 05:47:54"
105,27,0,0,5,14,17,8,24,26,20,20,7,"2020-06-20 05:47:54","2020-06-20 05:47:54"
106,28,0,0,21,21,5,8,10,10,11,24,0,"2020-06-20 05:47:54","2020-06-20 05:47:54"
107,19,21,16,26,9,21,30,27,0,0,13,0,"2020-06-20 05:47:54","2020-06-20 05:47:54"
108,18,13,27,5,18,19,20,13,0,7,11,0,"2020-06-20 05:47:54","2020-06-20 05:47:54"
109,25,0,0,6,0,0,24,10,0,23,0,0,"2020-06-20 05:47:54","2020-06-20 05:47:54"
110,8,21,6,1,0,0,8,13,0,0,30,0,"2020-06-20 05:47:54","2020-06-20 05:47:54"
111,26,0,0,17,21,13,13,10,0,13,18,0,"2020-06-20 05:47:54","2020-06-20 05:47:54"
112,29,3,9,12,23,13,29,4,24,3,24,27,"2020-06-20 05:47:54","2020-06-20 05:47:54"
113,23,0,0,3,30,28,8,7,0,8,0,0,"2020-06-20 05:47:54","2020-06-20 05:47:54"
114,19,0,0,20,14,15,19,7,0,0,14,0,"2020-06-20 05:47:54","2020-06-20 05:47:54"
115,19,0,0,0,0,0,0,0,0,0,0,0,"2020-06-20 05:47:54","2020-06-20 05:47:54"
116,30,16,9,15,30,27,5,22,0,9,25,25,"2020-06-20 05:47:54","2020-06-20 05:47:54"
117,5,0,0,29,17,17,25,29,17,13,29,6,"2020-06-20 05:47:54","2020-06-20 05:47:54"
118,11,0,0,12,18,6,20,6,10,7,22,6,"2020-06-20 05:47:54","2020-06-20 05:47:54"
119,30,0,0,1,3,30,20,5,29,0,16,8,"2020-06-20 05:47:54","2020-06-20 05:47:54"
120,20,26,24,19,0,0,12,6,24,17,27,26,"2020-06-20 05:47:54","2020-06-20 05:47:54"
121,2,21,24,6,0,0,14,27,26,2,28,3,"2020-06-20 05:47:54","2020-06-20 05:47:54"
122,14,0,0,11,0,0,14,6,22,25,18,3,"2020-06-20 05:47:54","2020-06-20 05:47:54"
123,27,0,0,17,0,0,10,17,0,0,9,0,"2020-06-20 05:47:54","2020-06-20 05:47:54"
124,19,20,10,27,22,18,8,8,7,30,0,30,"2020-06-20 05:47:54","2020-06-20 05:47:54"
125,6,0,0,11,23,4,7,2,25,30,10,14,"2020-06-20 05:47:54","2020-06-20 05:47:54"
126,15,0,0,20,3,8,9,28,23,25,18,19,"2020-06-20 05:47:54","2020-06-20 05:47:54"
127,15,20,17,30,0,0,18,6,13,9,20,30,"2020-06-20 05:47:54","2020-06-20 05:47:54"
128,25,8,11,2,0,0,3,14,24,13,27,28,"2020-06-20 05:47:54","2020-06-20 05:47:54"
129,15,17,11,11,24,21,14,8,0,3,15,0,"2020-06-20 05:47:54","2020-06-20 05:47:54"
130,4,6,29,11,12,30,5,1,6,28,24,23,"2020-06-20 05:47:54","2020-06-20 05:47:54"
131,11,0,0,18,18,4,10,12,0,29,2,18,"2020-06-20 05:47:54","2020-06-20 05:47:54"
132,13,29,11,5,8,7,17,18,6,26,14,23,"2020-06-20 05:47:55","2020-06-20 05:47:55"
133,8,10,11,21,0,0,20,23,24,20,22,20,"2020-06-20 05:47:55","2020-06-20 05:47:55"
134,19,0,0,30,16,28,10,4,3,20,0,9,"2020-06-20 05:47:55","2020-06-20 05:47:55"
135,28,6,15,12,0,0,13,7,22,19,14,0,"2020-06-20 05:47:55","2020-06-20 05:47:55"
136,28,13,29,26,0,0,13,12,1,13,5,3,"2020-06-20 05:47:55","2020-06-20 05:47:55"
137,5,0,0,23,0,0,5,9,0,13,0,0,"2020-06-20 05:47:55","2020-06-20 05:47:55"
138,24,0,0,23,0,0,14,18,0,28,13,26,"2020-06-20 05:47:55","2020-06-20 05:47:55"
139,30,16,6,13,4,29,10,7,26,24,29,30,"2020-06-20 05:47:55","2020-06-20 05:47:55"
140,18,18,28,3,0,0,6,19,0,27,22,9,"2020-06-20 05:47:55","2020-06-20 05:47:55"
141,2,13,30,1,18,24,15,24,28,3,11,16,"2020-06-20 05:47:55","2020-06-20 05:47:55"
142,11,0,0,12,0,0,21,16,0,0,23,0,"2020-06-20 05:47:55","2020-06-20 05:47:55"
143,10,5,3,8,0,0,19,22,0,22,9,25,"2020-06-20 05:47:55","2020-06-20 05:47:55"
144,4,0,0,5,20,4,12,15,0,17,0,0,"2020-06-20 05:47:55","2020-06-20 05:47:55"
145,30,0,0,17,10,28,12,6,15,28,2,19,"2020-06-20 05:47:55","2020-06-20 05:47:55"
146,25,0,0,30,0,0,17,6,0,0,17,0,"2020-06-20 05:47:55","2020-06-20 05:47:55"
147,3,0,0,1,0,0,15,15,14,15,26,21,"2020-06-20 05:47:55","2020-06-20 05:47:55"
148,3,26,16,28,0,0,28,21,6,0,30,24,"2020-06-20 05:47:55","2020-06-20 05:47:55"
149,19,0,0,29,0,0,5,4,3,16,0,0,"2020-06-20 05:47:55","2020-06-20 05:47:55"
150,20,0,0,5,0,0,9,15,27,8,24,27,"2020-06-20 05:47:55","2020-06-20 05:47:55"
151,14,0,0,20,19,20,15,8,3,3,6,25,"2020-06-20 05:47:55","2020-06-20 05:47:55"
152,7,0,0,23,10,30,4,5,25,9,15,15,"2020-06-20 05:47:55","2020-06-20 05:47:55"
153,19,0,0,2,10,14,28,5,14,25,0,19,"2020-06-20 05:47:55","2020-06-20 05:47:55"
154,28,2,9,8,0,0,26,5,27,7,25,26,"2020-06-20 05:47:55","2020-06-20 05:47:55"
155,16,5,30,6,30,5,9,10,0,18,13,12,"2020-06-20 05:47:55","2020-06-20 05:47:55"
156,29,1,23,7,0,0,15,15,0,10,8,18,"2020-06-20 05:47:55","2020-06-20 05:47:55"
157,1,0,0,1,8,9,14,25,0,18,1,0,"2020-06-20 05:47:55","2020-06-20 05:47:55"
158,9,19,30,4,0,0,5,10,22,3,0,0,"2020-06-20 05:47:55","2020-06-20 05:47:55"
159,26,0,0,23,0,0,23,6,30,0,28,25,"2020-06-20 05:47:55","2020-06-20 05:47:55"
160,3,0,0,28,24,25,30,24,0,25,20,21,"2020-06-20 05:47:55","2020-06-20 05:47:55"
161,3,15,9,6,29,15,18,1,0,24,0,0,"2020-06-20 05:47:55","2020-06-20 05:47:55"
162,19,12,15,17,21,29,22,26,27,0,1,18,"2020-06-20 05:47:55","2020-06-20 05:47:55"
163,17,7,30,4,0,0,4,20,25,28,20,3,"2020-06-20 05:47:55","2020-06-20 05:47:55"
164,9,0,0,25,16,11,23,27,23,19,3,6,"2020-06-20 05:47:55","2020-06-20 05:47:55"
165,30,0,0,16,13,4,8,2,0,13,22,15,"2020-06-20 05:47:55","2020-06-20 05:47:55"
166,30,25,14,27,0,0,15,2,0,0,29,0,"2020-06-20 05:47:55","2020-06-20 05:47:55"
167,14,14,7,27,0,0,5,14,0,4,21,0,"2020-06-20 05:47:55","2020-06-20 05:47:55"
168,8,0,0,18,8,20,30,7,18,0,1,4,"2020-06-20 05:47:55","2020-06-20 05:47:55"
169,21,0,0,25,0,0,5,27,18,12,19,27,"2020-06-20 05:47:55","2020-06-20 05:47:55"
170,7,0,0,24,2,18,21,25,29,29,2,0,"2020-06-20 05:47:55","2020-06-20 05:47:55"
171,26,23,20,1,0,0,10,16,26,10,27,4,"2020-06-20 05:47:55","2020-06-20 05:47:55"
172,13,22,9,29,0,0,16,1,0,0,2,0,"2020-06-20 05:47:55","2020-06-20 05:47:55"
173,17,0,0,10,0,0,24,2,0,6,30,19,"2020-06-20 05:47:55","2020-06-20 05:47:55"
174,30,0,0,19,4,19,1,24,0,0,5,0,"2020-06-20 05:47:55","2020-06-20 05:47:55"
175,19,0,0,22,16,26,3,11,28,3,28,6,"2020-06-20 05:47:55","2020-06-20 05:47:55"
176,8,18,19,9,19,3,17,4,0,11,0,0,"2020-06-20 05:47:55","2020-06-20 05:47:55"
177,25,9,22,29,0,0,6,17,15,15,19,23,"2020-06-20 05:47:55","2020-06-20 05:47:55"
178,13,0,0,25,16,6,27,12,15,13,24,6,"2020-06-20 05:47:55","2020-06-20 05:47:55"
179,12,6,19,21,27,20,27,25,4,1,0,11,"2020-06-20 05:47:55","2020-06-20 05:47:55"
180,23,0,0,30,0,0,20,18,0,24,14,0,"2020-06-20 05:47:55","2020-06-20 05:47:55"
181,9,0,0,16,8,4,27,4,0,24,24,22,"2020-06-20 05:47:55","2020-06-20 05:47:55"
182,17,0,0,28,30,28,28,5,0,23,4,0,"2020-06-20 05:47:55","2020-06-20 05:47:55"
183,3,0,0,10,16,22,17,26,0,0,8,0,"2020-06-20 05:47:55","2020-06-20 05:47:55"
184,13,12,15,23,2,26,5,29,10,14,0,3,"2020-06-20 05:47:55","2020-06-20 05:47:55"
185,3,4,21,25,20,11,8,16,29,20,17,2,"2020-06-20 05:47:55","2020-06-20 05:47:55"
186,14,4,3,3,0,0,11,23,30,27,0,0,"2020-06-20 05:47:55","2020-06-20 05:47:55"
187,18,4,13,30,7,9,4,18,20,14,19,0,"2020-06-20 05:47:55","2020-06-20 05:47:55"
188,12,0,0,10,0,0,11,10,0,26,10,0,"2020-06-20 05:47:55","2020-06-20 05:47:55"
189,6,0,0,6,0,0,27,8,7,5,0,30,"2020-06-20 05:47:55","2020-06-20 05:47:55"
190,13,22,5,18,0,0,15,16,0,0,4,0,"2020-06-20 05:47:55","2020-06-20 05:47:55"
191,16,0,0,7,20,7,10,24,25,14,18,20,"2020-06-20 05:47:55","2020-06-20 05:47:55"
192,8,0,0,11,0,0,9,9,0,0,24,0,"2020-06-20 05:47:55","2020-06-20 05:47:55"
193,17,0,0,9,28,22,26,19,17,13,30,0,"2020-06-20 05:47:55","2020-06-20 05:47:55"
194,16,0,0,9,0,0,11,9,0,29,1,0,"2020-06-20 05:47:55","2020-06-20 05:47:55"
195,1,22,22,4,16,10,11,10,13,11,10,2,"2020-06-20 05:47:55","2020-06-20 05:47:55"
196,29,17,2,17,4,29,21,15,4,17,6,2,"2020-06-20 05:47:55","2020-06-20 05:47:55"
197,28,0,0,16,0,0,3,2,30,2,0,0,"2020-06-20 05:47:55","2020-06-20 05:47:55"
198,7,0,0,24,30,13,2,3,0,15,13,0,"2020-06-20 05:47:55","2020-06-20 05:47:55"
199,3,0,0,7,21,7,13,14,0,27,13,0,"2020-06-20 05:47:55","2020-06-20 05:47:55"
200,17,0,0,9,0,0,9,22,6,0,1,8,"2020-06-20 05:47:55","2020-06-20 05:47:55"
201,30,28,30,21,0,0,9,25,0,0,19,0,"2020-06-20 05:47:55","2020-06-20 05:47:55"
202,12,23,1,2,6,29,27,1,11,17,7,20,"2020-06-20 05:47:55","2020-06-20 05:47:55"
203,10,14,27,9,0,0,1,17,25,24,15,17,"2020-06-20 05:47:55","2020-06-20 05:47:55"
204,11,15,12,22,0,0,3,6,25,23,14,8,"2020-06-20 05:47:55","2020-06-20 05:47:55"
205,21,0,0,22,0,0,22,8,0,5,24,17,"2020-06-20 05:47:55","2020-06-20 05:47:55"
206,3,26,18,28,0,0,13,25,0,7,13,26,"2020-06-20 05:47:55","2020-06-20 05:47:55"
207,26,0,0,17,0,0,25,20,4,18,26,23,"2020-06-20 05:47:55","2020-06-20 05:47:55"
208,16,0,0,2,0,0,1,4,2,26,21,20,"2020-06-20 05:47:56","2020-06-20 05:47:56"
209,13,0,0,24,5,22,28,22,0,0,1,0,"2020-06-20 05:47:56","2020-06-20 05:47:56"
210,24,0,0,28,0,0,17,18,9,0,8,30,"2020-06-20 05:47:56","2020-06-20 05:47:56"
211,7,9,7,9,0,0,23,19,21,0,30,7,"2020-06-20 05:47:56","2020-06-20 05:47:56"
212,29,0,0,23,0,0,11,21,30,0,1,2,"2020-06-20 05:47:56","2020-06-20 05:47:56"
213,15,1,15,5,0,0,1,15,0,21,4,0,"2020-06-20 05:47:56","2020-06-20 05:47:56"
214,30,11,28,20,16,26,11,29,0,9,0,0,"2020-06-20 05:47:56","2020-06-20 05:47:56"
215,25,0,0,21,13,16,23,6,8,17,0,19,"2020-06-20 05:47:56","2020-06-20 05:47:56"
216,23,28,9,2,7,16,9,13,0,0,28,0,"2020-06-20 05:47:56","2020-06-20 05:47:56"
217,11,0,0,3,17,14,20,21,5,14,0,11,"2020-06-20 05:47:56","2020-06-20 05:47:56"
218,2,0,0,11,0,0,16,5,30,6,22,21,"2020-06-20 05:47:56","2020-06-20 05:47:56"
219,28,25,25,16,25,3,3,9,0,17,29,21,"2020-06-20 05:47:56","2020-06-20 05:47:56"
220,6,0,0,28,0,0,8,2,14,9,0,25,"2020-06-20 05:47:56","2020-06-20 05:47:56"
221,29,13,10,13,0,0,9,30,7,0,24,26,"2020-06-20 05:47:56","2020-06-20 05:47:56"
222,12,18,5,26,29,3,29,14,0,0,14,0,"2020-06-20 05:47:56","2020-06-20 05:47:56"
223,13,7,17,3,11,19,23,12,28,29,29,28,"2020-06-20 05:47:56","2020-06-20 05:47:56"
224,7,0,0,1,0,0,21,13,0,27,7,0,"2020-06-20 05:47:56","2020-06-20 05:47:56"
225,8,0,0,13,0,0,2,24,0,19,3,20,"2020-06-20 05:47:56","2020-06-20 05:47:56"
226,3,0,0,17,6,9,28,15,0,2,16,0,"2020-06-20 05:47:56","2020-06-20 05:47:56"
227,1,22,3,7,21,17,15,13,0,27,0,0,"2020-06-20 05:47:56","2020-06-20 05:47:56"
228,29,0,0,15,0,0,5,4,0,15,26,0,"2020-06-20 05:47:56","2020-06-20 05:47:56"
229,4,3,6,21,4,7,26,3,0,0,18,0,"2020-06-20 05:47:56","2020-06-20 05:47:56"
230,8,20,12,10,0,0,12,3,0,16,6,21,"2020-06-20 05:47:56","2020-06-20 05:47:56"
231,27,2,23,5,0,0,6,21,0,14,0,0,"2020-06-20 05:47:56","2020-06-20 05:47:56"
232,29,0,0,24,0,0,29,25,0,22,20,11,"2020-06-20 05:47:56","2020-06-20 05:47:56"
233,13,0,0,20,2,11,5,8,0,11,17,24,"2020-06-20 05:47:56","2020-06-20 05:47:56"
234,0,0,0,0,0,0,0,19,0,0,0,0,"2020-06-20 05:47:56","2020-06-20 05:47:56"
235,17,18,4,5,20,24,4,11,27,8,30,1,"2020-06-20 05:47:56","2020-06-20 05:47:56"
236,6,0,0,14,20,14,9,23,27,5,10,0,"2020-06-20 05:47:56","2020-06-20 05:47:56"
237,30,10,23,7,0,0,29,20,12,12,0,0,"2020-06-20 05:47:56","2020-06-20 05:47:56"
238,22,11,7,25,13,3,27,13,2,4,1,9,"2020-06-20 05:47:56","2020-06-20 05:47:56"
239,19,12,6,18,1,7,29,16,22,13,13,12,"2020-06-20 05:47:56","2020-06-20 05:47:56"
240,19,0,0,4,0,0,29,27,30,11,18,16,"2020-06-20 05:47:56","2020-06-20 05:47:56"
241,8,21,30,26,0,0,25,9,23,22,7,13,"2020-06-20 05:47:56","2020-06-20 05:47:56"
242,26,3,7,30,0,0,5,27,0,9,27,11,"2020-06-20 05:47:56","2020-06-20 05:47:56"
243,30,15,4,21,20,20,23,2,0,3,23,20,"2020-06-20 05:47:56","2020-06-20 05:47:56"
244,13,2,1,22,0,0,27,11,11,20,2,0,"2020-06-20 05:47:56","2020-06-20 05:47:56"
245,18,0,0,20,0,0,8,15,0,0,22,0,"2020-06-20 05:47:56","2020-06-20 05:47:56"
246,24,0,0,16,26,17,8,25,12,1,30,18,"2020-06-20 05:47:56","2020-06-20 05:47:56"
247,25,0,0,22,23,19,18,23,0,7,0,0,"2020-06-20 05:47:56","2020-06-20 05:47:56"
248,21,0,0,27,0,0,1,24,0,19,25,12,"2020-06-20 05:47:56","2020-06-20 05:47:56"
249,9,0,0,25,0,0,14,23,0,24,30,22,"2020-06-20 05:47:56","2020-06-20 05:47:56"
250,14,0,0,17,0,0,18,8,12,20,18,13,"2020-06-20 05:47:56","2020-06-20 05:47:56"
251,6,4,2,17,3,17,10,1,0,0,29,0,"2020-06-20 05:47:56","2020-06-20 05:47:56"
252,25,0,0,8,0,0,21,7,24,26,5,23,"2020-06-20 05:47:56","2020-06-20 05:47:56"
253,28,19,22,30,0,0,11,12,0,0,16,0,"2020-06-20 05:47:56","2020-06-20 05:47:56"
254,15,0,0,14,15,14,17,15,0,17,0,0,"2020-06-20 05:47:56","2020-06-20 05:47:56"
255,25,2,12,26,21,10,26,5,27,12,0,5,"2020-06-20 05:47:56","2020-06-20 05:47:56"
256,12,0,0,1,0,0,18,19,0,0,19,0,"2020-06-20 05:47:56","2020-06-20 05:47:56"
257,25,0,0,18,0,0,1,19,4,20,2,26,"2020-06-20 05:47:56","2020-06-20 05:47:56"
